Summary,Description,Start,End,Location
41st match Royal Challengers Bangalore v Kings XI Punjab,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-06 14:30:00+00:00,2015-05-06 18:30:00+00:00,"M Chinnaswamy Stadium, Bangalore"
42nd match Rajasthan Royals v Sunrisers Hyderabad,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-07 00:00:00+00:00,2015-05-07 04:00:00+00:00,
43rd match Chennai Super Kings v Mumbai Indians,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-08 14:30:00+00:00,2015-05-08 18:30:00+00:00,"MA Chidambaram Stadium, Chepauk, Chennai"
44th match Kolkata Knight Riders v Kings XI Punjab,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-09 10:30:00+00:00,2015-05-09 14:30:00+00:00,"Eden Gardens, Kolkata"
45th match Delhi Daredevils v Sunrisers Hyderabad,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-09 14:30:00+00:00,2015-05-09 18:30:00+00:00,"Shaheed Veer Narayan Singh International Stadium, Raipur"
46th match Mumbai Indians v Royal Challengers Bangalore,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-10 10:30:00+00:00,2015-05-10 14:30:00+00:00,"Wankhede Stadium, Mumbai"
47th match Chennai Super Kings v Rajasthan Royals,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-10 14:30:00+00:00,2015-05-10 18:30:00+00:00,"MA Chidambaram Stadium, Chepauk, Chennai"
48th match Sunrisers Hyderabad v Kings XI Punjab,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-11 14:30:00+00:00,2015-05-11 18:30:00+00:00,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
49th match Delhi Daredevils v Chennai Super Kings,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-12 14:30:00+00:00,2015-05-12 18:30:00+00:00,"Shaheed Veer Narayan Singh International Stadium, Raipur"
50th match Kings XI Punjab v Royal Challengers Bangalore,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-13 14:30:00+00:00,2015-05-13 18:30:00+00:00,"Punjab Cricket Association Stadium, Mohali, Chandigarh"
51st match Mumbai Indians v Kolkata Knight Riders,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-14 14:30:00+00:00,2015-05-14 18:30:00+00:00,"Wankhede Stadium, Mumbai"
52nd match Sunrisers Hyderabad v Royal Challengers Bangalore,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-15 14:30:00+00:00,2015-05-15 18:30:00+00:00,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
54th match Rajasthan Royals v Kolkata Knight Riders,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-16 00:00:00+00:00,2015-05-16 04:00:00+00:00,
53rd match Kings XI Punjab v Chennai Super Kings,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-16 10:30:00+00:00,2015-05-16 14:30:00+00:00,"Punjab Cricket Association Stadium, Mohali, Chandigarh"
55th match Royal Challengers Bangalore v Delhi Daredevils,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-17 10:30:00+00:00,2015-05-17 14:30:00+00:00,"M Chinnaswamy Stadium, Bangalore"
56th match Sunrisers Hyderabad v Mumbai Indians,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-17 14:30:00+00:00,2015-05-17 18:30:00+00:00,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
Qualifier 1 TBD v TBD,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-19 00:00:00+00:00,2015-05-19 04:00:00+00:00,
Eliminator TBD v TBD,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-20 00:00:00+00:00,2015-05-20 04:00:00+00:00,
Qualifier 2 TBD v TBD,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-22 00:00:00+00:00,2015-05-22 04:00:00+00:00,
Final TBD v TBD,"Follow every ball of every international match live on Cricinfo.com.

Get all the latest Pepsi Indian Premier League news at: http://www.espncricinfo.com/indian-premier-league-2015/content/series/791129.html 

 ",2015-05-24 14:30:00+00:00,2015-05-24 18:30:00+00:00,"Eden Gardens, Kolkata"
